option,r1,r2,r3,r4,r5,r6,r7
1,EAh,F0h,F0h,F0h,F6h,00h,00h
2,00h,02h,03h,03h,05h,03h,07h
3,00h,01h,04h,02h,08h,06h,0Dh
4,00h,00h,00h,FAh,F8h,F4h,F0h
5,00h,02h,00h,FEh,FEh,FCh,FAh
6,05h,07h,00h,00h,FBh,F8h,F4h
7,0Eh,08h,00h,00h,FBh,F7h,F4h
8,11h,0Ah,00h,00h,FBh,F8h,F5h
9,00h,00h,F7h,F8h,FDh,F7h,F5h
10,00h,00h,F9h,F7h,FBh,F7h,F5h
11,00h,00h,F8h,F5h,F7h,F1h,EDh
12,00h,00h,FAh,F3h,F3h,E9h,E7h
13,00h,00h,F9h,F1h,F1h,E7h,E7h
14,00h,00h,F9h,F1h,EFh,E5h,E3h
15,00h,FFh,F9h,F1h,EDh,E5h,DFh
16,00h,FDh,F6h,EFh,EBh,E3h,DBh
17,00h,FBh,F5h,EFh,E9h,DFh,D9h
18,00h,FBh,F3h,EDh,E7h,DDh,D7h
19,00h,FBh,F3h,EDh,E5h,DBh,D5h
20,01h,0Ah,08h,FFh,FCh,F7h,F1h
21,00h,07h,05h,FCh,F8h,F4h,EDh
22,FFh,03h,00h,F8h,F3h,F2h,EAh
23,00h,FFh,FAh,F5h,EEh,EDh,E6h
24,FCh,F8h,F6h,FCh,FBh,F2h,F2h
25,F8h,FCh,FCh,F9h,F6h,F1h,F0h
26,F7h,FAh,F9h,F4h,F3h,EFh,EEh
27,F6h,F8h,F6h,F0h,F0h,EDh,ECh
